NAME	TERMS COUNT	MORE THAN ONE	MORE THAN EPS	EPS	SUM Norm	CONVERGENCE	GROUPS COUNT	GROUPS TIME (SEC)	THD	THD TIME (SEC)	THDR	THDR TIME (SEC)
D1.txt	53478	13775	1379	28.0	29.19920527085569	0.8	394	0.8260471820831299	29.19920527085569	0.0	100.0	0.0
D2.txt	91701	23815	2473	24.0	35.44925135623828	0.8	778	3.0361735820770264	22.505825208942664	0.0	63.48744852966307	0.0010001659393310547
D3.txt	114061	32419	3028	21.5	41.80004017763752	0.8	985	4.696268558502197	11.450513932347874	0.0010001659393310547	27.39354767049662	0.0
D4.txt	129896	39642	3997	19.651484454403228	47.5922611209183	0.8	1258	7.891451358795166	12.242732165012674	0.0	25.724207836873724	0.0009999275207519531
D5.txt	145796	46702	4466	19.651484454403228	52.481603087776186	0.8	1409	10.006572246551514	9.481013867018994	0.0009999275207519531	18.06540446404023	0.0
D6.txt	162746	54629	4587	20.0	48.97527274639623	0.8	1515	11.054632186889648	13.112230438621017	0.0010001659393310547	26.77316470807375	0.0
D7.txt	190263	63684	5133	21.0	46.35526292383007	0.8	1634	13.601778030395508	10.318027658985187	0.0009999275207519531	22.25858944202202	0.0
D8.txt	200176	69097	5413	22.0	42.266550954642895	0.8	1719	15.13286566734314	8.804692660367955	0.0010001659393310547	20.83134881248402	0.0
D9.txt	217461	76315	5855	22.0	42.0727851794065	0.8	1876	17.873021841049194	6.281520210374792	0.0009999275207519531	14.930126882708558	0.0010001659393310547
D10.txt	245967	84664	6453	23.21928094887362	41.31082138773462	0.8	2009	20.689183235168457	8.15397790639006	0.002000093460083008	19.738116146029995	0.0
D11.txt	263034	91132	6428	24.0	39.84107219082906	0.8	2046	21.277217149734497	5.871753786966042	0.0019998550415039062	14.737941185020741	0.0
D12.txt	287887	99231	7110	23.774437510817346	39.02926855507387	0.8	2223	25.304447174072266	5.551818761310518	0.0020003318786621094	14.224757385541043	0.0010001659393310547
D13.txt	298360	104397	7382	23.774437510817346	38.05410761093039	0.8	2325	28.10060739517212	4.349445308625207	0.0009999275207519531	11.429634227911587	0.0009999275207519531
D14.txt	320493	112897	7722	24.0	38.124141592223665	0.8	2411	30.146723985671997	4.0899776154905405	0.0009999275207519531	10.728051687660265	0.0010004043579101562
D15.txt	333968	119786	8297	23.774437510817346	37.060137438244865	0.8	2593	34.756988286972046	4.802584873304865	0.002000093460083008	12.958896553763863	0.0009999275207519531
D16.txt	350734	127256	8425	24.0	34.68495992899278	0.8	2651	36.0140597820282	5.052632683518628	0.002000093460083008	14.567214994229206	0.0010001659393310547
D17.txt	369309	135084	8876	24.0	34.642707178128965	0.8	2771	39.816277503967285	3.6527800937698425	0.002000093460083008	10.544153131531123	0.0009999275207519531
D18.txt	389015	143451	9616	24.0	35.21967334539615	0.8	2932	44.951570987701416	3.6141409807389024	0.002000093460083008	10.26171067884517	0.0
D19.txt	399546	148895	10004	24.0	35.40840238607957	0.8	3041	48.9037971496582	2.858527629897338	0.0020003318786621094	8.073020631456496	0.0009999275207519531
D20.txt	420457	158178	10573	24.0	35.929150905689546	0.8	3197	53.07403564453125	3.795833061357013	0.002000093460083008	10.56477251945279	0.0009999275207519531
D21.txt	435068	165518	9751	26.0	36.490426606848594	0.8	3041	46.924684047698975	3.4987269837257724	0.002000093460083008	9.58806818407852	0.0009999275207519531
D22.txt	449712	171134	10139	26.0	36.87592677873328	0.8	3147	50.414883613586426	2.558631172743542	0.002000093460083008	6.938486422581603	0.0009999275207519531
