NAME	TERMS COUNT	MORE THAN ONE	MORE THAN EPS	EPS	SUM Norm	CONVERGENCE	GROUPS COUNT	GROUPS TIME (SEC)	THD	THD TIME (SEC)	THDR	THDR TIME (SEC)
D1.txt	53478	13775	1379	28.0	37.4765291559891	0.8	530	19.794132232666016	37.4765291559891	0.0	100.0	0.0
D2.txt	91701	23815	2473	24.0	45.48253678179906	0.8	1088	74.52426266670227	32.790399127963404	0.0	72.09448163648884	0.0009999275207519531
D3.txt	114061	32419	3028	21.5	51.39384202603255	0.8	1320	107.10512614250183	11.687848813051932	0.0009999275207519531	22.741730044489923	0.0
D4.txt	129896	39642	3997	19.651484454403228	59.65647877219657	0.8	1827	192.11198830604553	16.006808889132365	0.0009999275207519531	26.831635420950256	0.0010001659393310547
D5.txt	145796	46702	4466	19.651484454403228	63.906240479399564	0.8	2009	225.92992234230042	11.551044187188138	0.0009999275207519531	18.07498626196242	0.0010001659393310547
D6.txt	162746	54629	4587	20.0	53.93523799111479	0.8	1903	195.6711916923523	16.772465963183592	0.0019998550415039062	31.09741717640453	0.0
D7.txt	190263	63684	5133	21.0	50.75163312621916	0.8	2121	241.80683064460754	13.711415013189827	0.0010001659393310547	27.0166971358135	0.0009999275207519531
D8.txt	200176	69097	5413	22.0	45.42959467373379	0.8	2217	261.29694533348083	9.963547857376494	0.0020003318786621094	21.931844052170597	0.0
D9.txt	217461	76315	5855	22.0	44.17988067354798	0.8	2388	297.69102692604065	7.215398536425742	0.002000093460083008	16.331865153148435	0.0
D10.txt	245967	84664	6453	23.21928094887362	43.75611006005379	0.8	2564	354.28726387023926	8.766798938148362	0.0019998550415039062	20.035599430836573	0.0010004043579101562
D11.txt	263034	91132	6428	24.0	42.01983506294172	0.8	2619	362.52973532676697	7.709751155994131	0.002000093460083008	18.347885336640793	0.0010001659393310547
D12.txt	287887	99231	7110	23.774437510817346	40.81203250505256	0.8	2877	448.26763939857483	7.205218513956809	0.0030002593994140625	17.654642691624826	0.0
D13.txt	298360	104397	7382	23.774437510817346	39.217625660607034	0.8	2988	474.9051625728607	5.265745161396225	0.0020003318786621094	13.426986138749122	0.0010001659393310547
D14.txt	320493	112897	7722	24.0	39.26099483670385	0.8	3110	529.5052857398987	5.058592862430363	0.0030002593994140625	12.884525426495932	0.0009999275207519531
D15.txt	333968	119786	8297	23.774437510817346	37.56376496794479	0.8	3318	588.9486861228943	6.00981869925527	0.003000497817993164	15.998978548566086	0.0009999275207519531
D16.txt	350734	127256	8425	24.0	34.78865825259747	0.8	3368	609.1188395023346	6.190679951686171	0.002000093460083008	17.795109850849013	0.0010001659393310547
D17.txt	369309	135084	8876	24.0	34.826312372879535	0.8	3550	663.6109561920166	4.067152137186269	0.0030002593994140625	11.678388724134635	0.0010001659393310547
D18.txt	389015	143451	9616	24.0	35.17637806971033	0.8	3753	740.9803812503815	4.32116320516022	0.003000020980834961	12.284275534555634	0.0010004043579101562
D19.txt	399546	148895	10004	24.0	35.222889446409205	0.8	3883	777.0194427967072	3.4743430047628485	0.004000425338745117	9.863878459059922	0.0009999275207519531
D20.txt	420457	158178	10573	24.0	35.639572424259654	0.8	4089	851.4206984043121	4.5460741781562835	0.003000497817993164	12.755692251408146	0.002000093460083008
D21.txt	435068	165518	9751	26.0	34.18706028752158	0.8	3566	626.0168061256409	3.4813600978032344	0.003000497817993164	10.183268372665388	0.0009999275207519531
D22.txt	449712	171134	10139	26.0	34.286811661743485	0.8	3659	665.1370437145233	2.7919460909083846	0.003000020980834961	8.142915469808996	0.0010001659393310547
