NAME	TERMS COUNT	MORE THAN ONE	MORE THAN EPS	EPS	SUM Norm	CONVERGENCE	GROUPS COUNT	GROUPS TIME (SEC)	THD	THD TIME (SEC)	THDR	THDR TIME (SEC)
D1.txt	53478	13775	1379	28.0	27.499443870935515	0.8	404	13.616779088973999	27.499443870935515	0.0	100.0	0.0
D2.txt	91701	23815	2473	24.0	33.21724597741203	0.8	824	50.14686822891235	24.549176354317105	0.0010001659393310547	73.90491183709428	0.0
D3.txt	114061	32419	3028	21.5	37.168715167023706	0.8	985	69.46297311782837	8.919614900625067	0.0009999275207519531	23.99764118975681	0.0
D4.txt	129896	39642	3997	19.651484454403228	41.07166105912056	0.8	1288	116.7556779384613	11.15835845971024	0.0010001659393310547	27.168023332799596	0.0
D5.txt	145796	46702	4466	19.651484454403228	42.80531725338043	0.8	1392	132.72059106826782	7.52653973858612	0.0009999275207519531	17.58318877543591	0.0010001659393310547
D6.txt	162746	54629	4587	20.0	36.61442368132584	0.8	1334	120.08286809921265	11.911787858676355	0.0010001659393310547	32.533047528894	0.0010001659393310547
D7.txt	190263	63684	5133	21.0	33.3507612285639	0.8	1452	140.92906093597412	9.842485256847716	0.0010001659393310547	29.512025795734857	0.0009999275207519531
D8.txt	200176	69097	5413	22.0	29.52927188283013	0.8	1506	149.09552812576294	7.054593217007358	0.0009999275207519531	23.890169879567093	0.0
D9.txt	217461	76315	5855	22.0	28.470387600897944	0.8	1617	167.4305763244629	5.1970743825710946	0.0010001659393310547	18.25431552047848	0.0
D10.txt	245967	84664	6453	23.21928094887362	28.205474462628374	0.8	1738	201.84654474258423	6.1880511431886545	0.0020003318786621094	21.939184718866137	0.0
D11.txt	263034	91132	6428	24.0	27.147744865234706	0.8	1786	207.78488445281982	5.015952762860615	0.0009999275207519531	18.47649883170968	0.0010001659393310547
D12.txt	287887	99231	7110	23.774437510817346	26.296909003102833	0.8	1952	254.42755222320557	4.917584601024918	0.0020003318786621094	18.700238117128826	0.0
D13.txt	298360	104397	7382	23.774437510817346	24.984930649891936	0.8	2008	266.1772243976593	3.259179757848164	0.002000093460083008	13.044581966299196	0.0
D14.txt	320493	112897	7722	24.0	24.820838730388388	0.8	2073	295.0118737220764	3.4195854068950577	0.002000093460083008	13.777074352884084	0.0009999275207519531
D15.txt	333968	119786	8297	23.774437510817346	23.34251127604588	0.8	2178	320.23231649398804	3.967319336738641	0.002000093460083008	16.99611189996472	0.0009999275207519531
D16.txt	350734	127256	8425	24.0	21.40561848522083	0.8	2200	331.0089325904846	3.7622868200863935	0.0019998550415039062	17.57616498062882	0.0
D17.txt	369309	135084	8876	24.0	21.34706875339531	0.8	2297	356.5333926677704	2.629243158313371	0.0019998550415039062	12.316647258163643	0.0
D18.txt	389015	143451	9616	24.0	21.375189109335622	0.8	2428	399.7398636341095	2.665201600872874	0.0020003318786621094	12.468669106224871	0.0010001659393310547
D19.txt	399546	148895	10004	24.0	21.194380211186495	0.8	2489	414.8447277545929	1.9289308968226053	0.002000093460083008	9.101143216278183	0.0009999275207519531
D20.txt	420457	158178	10573	24.0	21.452809292204986	0.8	2619	454.1659767627716	2.8105525716639237	0.002000093460083008	13.101093350441314	0.0010001659393310547
D21.txt	435068	165518	9751	26.0	20.513841678120954	0.8	2257	340.0834515094757	2.2132236880126026	0.002000093460083008	10.788928386695687	0.0
D22.txt	449712	171134	10139	26.0	20.4048424068548	0.8	2302	356.66740012168884	1.5996666217646478	0.0019998550415039062	7.83964212939599	0.0
